Server started
Listening on: 0.0.0.0:2017
Master socket: Resource id #10
Client connected. Resource id #11
Client disconnected. Resource id #11
Client connected. Resource id #12
Client connected. Resource id #13
Client connected. Resource id #14
Client disconnected. Resource id #14
Client disconnected. Resource id #12
Client connected. Resource id #15
Client connected. Resource id #16
Client disconnected. Resource id #15
Client connected. Resource id #17
Client disconnected. Resource id #16
Client connected. Resource id #18
Client disconnected. Resource id #18
Client disconnected. Resource id #13
Client connected. Resource id #19
Client disconnected. Resource id #19
Client connected. Resource id #20
Client disconnected. Resource id #20
Client connected. Resource id #21
Client disconnected. Resource id #21
Client connected. Resource id #22
Client disconnected. Resource id #22
Client connected. Resource id #23
Client disconnected. Resource id #23
Client disconnected. Resource id #17
Client disconnected. TCP connection lost: Resource id #17
Client connected. Resource id #24
Client disconnected. Resource id #24
Client connected. Resource id #25
Client disconnected. Resource id #25
Client connected. Resource id #26
Client disconnected. Resource id #26
Client connected. Resource id #27
Client disconnected. Resource id #27
Client connected. Resource id #28
Client disconnected. Resource id #28
Client connected. Resource id #29
Client disconnected. Resource id #29
Client connected. Resource id #30
Client disconnected. Resource id #30
Client connected. Resource id #31
Client disconnected. Resource id #31
Client connected. Resource id #32
Client disconnected. Resource id #32
Client connected. Resource id #33
Client disconnected. Resource id #33
Client connected. Resource id #34
Client disconnected. Resource id #34
Client connected. Resource id #35
Client disconnected. Resource id #35
Client connected. Resource id #36
Client disconnected. Resource id #36
Client connected. Resource id #37
Client disconnected. Resource id #37
Client connected. Resource id #38
Client disconnected. Resource id #38
Client connected. Resource id #39
Client disconnected. Resource id #39
Client connected. Resource id #40
Client connected. Resource id #41
Client disconnected. Resource id #41
Client connected. Resource id #42
Client disconnected. Resource id #42
Client disconnected. Resource id #40
Client disconnected. TCP connection lost: Resource id #40
Client connected. Resource id #43
Client connected. Resource id #44
Client disconnected. Resource id #43
Client disconnected. Resource id #44
Client disconnected. TCP connection lost: Resource id #44
Client connected. Resource id #45
Client disconnected. Resource id #45
Client connected. Resource id #46
Client connected. Resource id #47
Client disconnected. Resource id #47
Client connected. Resource id #48
Client disconnected. Resource id #48
Client connected. Resource id #49
Client connected. Resource id #50
Client connected. Resource id #51
Client disconnected. Resource id #51
Client disconnected. Resource id #50
Client disconnected. TCP connection lost: Resource id #50
Client disconnected. Resource id #46
Client disconnected. TCP connection lost: Resource id #46
Client connected. Resource id #52
Client disconnected. Resource id #49
Client disconnected. Resource id #52
Client connected. Resource id #53
Client connected. Resource id #54
Client disconnected. Resource id #54
Client disconnected. Resource id #53
Client connected. Resource id #55
Client connected. Resource id #56
Client disconnected. Resource id #56
Client connected. Resource id #57
Client disconnected. Resource id #55
Client disconnected. TCP connection lost: Resource id #55
Client connected. Resource id #58
Client disconnected. Resource id #58
Client connected. Resource id #59
Client disconnected. Resource id #59
Client connected. Resource id #60
Client disconnected. Resource id #60
Client connected. Resource id #61
Client disconnected. Resource id #61
Client connected. Resource id #62
Client disconnected. Resource id #62
Client connected. Resource id #63
Client disconnected. Resource id #63
Client connected. Resource id #64
Client disconnected. Resource id #64
Client disconnected. Resource id #57
Client connected. Resource id #65
Client connected. Resource id #66
Client disconnected. Resource id #66
Client connected. Resource id #67
Client disconnected. Resource id #67
Client disconnected. TCP connection lost: Resource id #67
Client connected. Resource id #68
Client disconnected. Resource id #68
Client connected. Resource id #69
Client disconnected. Resource id #69
Client connected. Resource id #70
Client disconnected. Resource id #70
Client connected. Resource id #71
Client disconnected. Resource id #71
Client disconnected. Resource id #65
Client connected. Resource id #72
Client connected. Resource id #73
Client disconnected. Resource id #72
Client connected. Resource id #74
Client disconnected. Resource id #74
Client connected. Resource id #75
Client disconnected. Resource id #75
Client connected. Resource id #76
Client disconnected. Resource id #76
Client connected. Resource id #77
Client disconnected. Resource id #77
Client connected. Resource id #78
Client disconnected. Resource id #78
Client connected. Resource id #79
Client disconnected. Resource id #79
Client connected. Resource id #80
Client disconnected. Resource id #80
Client connected. Resource id #81
Client disconnected. Resource id #81
Client connected. Resource id #82
Client disconnected. Resource id #82
Client connected. Resource id #83
Client disconnected. Resource id #83
Client connected. Resource id #84
Client disconnected. Resource id #84
Client connected. Resource id #85
Client disconnected. Resource id #85
Client connected. Resource id #86
Client disconnected. Resource id #86
Client connected. Resource id #87
Client connected. Resource id #88
Client disconnected. Resource id #88
Client disconnected. Resource id #87
Client connected. Resource id #89
Client disconnected. Resource id #89
Client connected. Resource id #90
Client disconnected. Resource id #90
Client connected. Resource id #91
Client disconnected. Resource id #91
Client disconnected. Resource id #73
Client connected. Resource id #92
Client disconnected. Resource id #92
Client connected. Resource id #93
Client disconnected. Resource id #93
Client connected. Resource id #94
Client disconnected. Resource id #94
Client connected. Resource id #95
Client disconnected. Resource id #95
Client connected. Resource id #96
Client disconnected. Resource id #96
Client connected. Resource id #97
Client connected. Resource id #98
Client disconnected. Resource id #98
Client connected. Resource id #99
Client disconnected. Resource id #99
Client connected. Resource id #100
Client disconnected. Resource id #100
Client connected. Resource id #101
Client disconnected. Resource id #101
Client connected. Resource id #102
Client disconnected. Resource id #102
Client connected. Resource id #103
Client disconnected. Resource id #103
Client connected. Resource id #104
Client disconnected. Resource id #104
Client connected. Resource id #105
Client disconnected. Resource id #105
Client connected. Resource id #106
Client disconnected. Resource id #106
Client connected. Resource id #107
Client disconnected. Resource id #107
Client connected. Resource id #108
Client disconnected. Resource id #108
Client connected. Resource id #109
Client disconnected. Resource id #109
Client connected. Resource id #110
Client disconnected. Resource id #110
Client disconnected. TCP connection lost: Resource id #110
Client connected. Resource id #111
Client disconnected. Resource id #111
Client connected. Resource id #112
Client disconnected. Resource id #112
Client connected. Resource id #113
